strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,range_position_60,box_width_pct_20,breakout_above_box_ratio_20,dry_up_days_ratio_20,ret_1d_pct,volume_ratio_20,pullback_depth_pct,amount_ma20_yuan,box_stability_40,box_quality_60,box_quality_score,dry_up_score,pullback_stability_score,trigger_strength_score,name
box_rebound_v1,箱体反抽 V1,000035.SZ,2025-08-21,0.510764,box,9.222161,9.325087,8.729252,9.242746,0.882042,6.389587,-0.883002,0.35,0.447427,1.705929,6.389587,82733538.4,0.830438,0.823397,0.781831,0.0,0.5534,0.493866,中国天楹
box_rebound_v1,箱体反抽 V1,000036.SZ,2023-07-28,0.616256,box,7.906595,8.072467,7.372116,8.017177,0.967642,8.675799,-0.684932,0.6,1.873536,2.282666,8.675799,51577740.75,0.544664,0.583162,0.515273,0.888889,0.559479,0.591316,华联控股
box_rebound_v1,箱体反抽 V1,000036.SZ,2025-08-11,0.560423,box,6.653335,7.058801,6.616474,6.96665,0.8,6.753247,-1.818182,0.65,4.709141,2.428145,6.753247,65243587.65,0.692505,0.692067,0.489983,0.666667,0.467617,0.693458,华联控股
box_rebound_v1,箱体反抽 V1,000039.SZ,2022-08-11,0.582745,box,20.415008,21.197308,18.504392,20.941556,0.875676,12.704045,-1.206529,0.5,3.187546,2.664039,12.704045,160364454.15,0.698707,0.710434,0.621063,0.666667,0.417072,0.638861,中集集团
box_rebound_v1,箱体反抽 V1,000039.SZ,2024-01-02,0.64827,box,18.631573,19.313513,18.436733,19.069963,0.91018,5.137845,-1.879699,0.55,2.352941,1.492191,5.137845,122352740.95,0.546903,0.57255,0.737127,0.888889,0.45336,0.495791,中集集团
box_rebound_v1,箱体反抽 V1,000039.SZ,2024-04-19,0.538492,box,23.332087,24.160157,21.481107,23.819187,0.936364,11.08871,-1.41129,0.55,1.663202,1.122958,11.08871,288094473.85,0.484384,0.544268,0.553939,0.888889,0.379794,0.359434,中集集团
box_rebound_v1,箱体反抽 V1,000039.SZ,2024-06-03,0.508241,box,23.526927,24.208867,22.041272,23.867897,0.921348,8.953722,-1.408451,0.75,2.296451,1.919212,8.953722,216356588.0,0.708007,0.662501,0.673933,0.222222,0.453056,0.57328,中集集团
box_rebound_v1,箱体反抽 V1,000039.SZ,2025-03-07,0.619951,box,20.318272,20.733429,19.585642,20.562482,0.941667,5.535925,-0.824499,0.55,1.323706,1.085603,5.535925,226594163.5,0.458499,0.64124,0.6626,0.888889,0.551596,0.36182,中集集团
box_rebound_v1,箱体反抽 V1,000039.SZ,2025-10-09,0.618352,box,20.679561,20.904067,19.132959,20.904067,0.816092,8.472554,0.0,0.6,1.085645,1.530067,8.472554,325233967.75,0.755728,0.749761,0.529306,0.888889,0.58514,0.545161,中集集团
box_rebound_v1,箱体反抽 V1,000048.SZ,2023-02-27,0.546542,box,32.710201,33.659655,29.923096,33.368693,0.961924,11.101001,-0.864422,0.55,2.013109,1.208989,11.101001,60396208.4,0.211803,0.462133,0.450228,0.888889,0.491204,0.441917,京基智农
box_rebound_v1,箱体反抽 V1,000048.SZ,2023-03-13,0.513089,box,32.158906,33.644341,30.336568,33.307438,0.953908,9.872611,-1.046406,0.5,3.325416,1.316216,9.872611,60511706.2,0.460735,0.534809,0.519073,0.666667,0.355937,0.545479,京基智农
box_rebound_v1,箱体反抽 V1,000048.SZ,2023-09-11,0.616938,box,33.039352,34.422021,29.77561,33.891462,0.885813,13.498365,-1.541336,0.6,1.983551,2.482058,13.498365,104838252.2,0.54847,0.662444,0.62101,0.888889,0.45,0.546533,京基智农
box_rebound_v1,箱体反抽 V1,000049.SZ,2025-07-25,0.61721,box,64.052964,64.606099,61.176665,64.135935,0.85527,5.308219,-0.72774,0.55,0.129534,1.194748,5.308219,116804107.95,0.611334,0.66707,0.666381,0.888889,0.558912,0.332357,德赛电池
box_rebound_v1,箱体反抽 V1,000049.SZ,2025-08-11,0.565488,box,64.578442,66.265502,61.397919,65.933621,0.960656,7.345576,-0.500835,0.45,2.89167,1.764196,7.345576,124014853.8,0.702525,0.737256,0.611256,0.444444,0.519877,0.66345,德赛电池
box_rebound_v1,箱体反抽 V1,000049.SZ,2025-11-13,0.606145,box,77.521787,82.002176,71.907473,81.449041,0.968992,12.310287,-0.674536,0.6,5.066001,2.215079,12.310287,323206550.6,0.614116,0.596791,0.457032,0.888889,0.45,0.779528,德赛电池
box_rebound_v1,箱体反抽 V1,000050.SZ,2022-08-11,0.614606,box,10.531389,10.972824,9.795663,10.878231,0.93966,10.727969,-0.862069,0.5,4.020101,2.712816,10.727969,84434145.45,0.748121,0.705449,0.606573,0.666667,0.508301,0.709482,深天马Ａ
box_rebound_v1,箱体反抽 V1,000050.SZ,2022-12-05,0.555117,box,9.690559,9.827194,9.354228,9.785153,0.915888,5.319149,-0.957447,0.4,1.859956,2.100752,5.319149,58756495.2,0.70837,0.74513,0.777887,0.222222,0.494326,0.574151,深天马Ａ
box_rebound_v1,箱体反抽 V1,000050.SZ,2023-10-11,0.658623,box,9.869236,10.037401,9.41729,9.98485,0.896774,6.17801,-0.52356,0.6,1.279318,1.131018,6.17801,81677102.35,0.482969,0.612784,0.754646,0.888889,0.552996,0.392352,深天马Ａ
box_rebound_v1,箱体反抽 V1,000055.SZ,2023-07-25,0.526779,box,13.832915,14.0538,12.507606,13.970968,0.953125,11.001965,-0.589391,0.5,1.402806,1.568064,11.001965,60484931.85,0.629486,0.715466,0.56624,0.666667,0.34785,0.541493,方大集团
box_rebound_v1,箱体反抽 V1,000058.SZ,2023-08-29,0.572555,box,6.740907,7.256266,6.493534,7.163502,0.921713,10.511364,-1.278409,0.45,5.945122,2.753024,10.511364,52877845.9,0.58785,0.64683,0.642072,0.444444,0.441126,0.743295,深赛格
box_rebound_v1,箱体反抽 V1,000058.SZ,2025-09-15,0.51234,box,9.734543,10.118119,8.894822,10.087019,0.983333,12.090164,-0.307377,0.65,2.962963,1.432128,12.090164,132277704.9,0.423045,0.585628,0.414754,0.666667,0.45,0.606711,深赛格
box_rebound_v1,箱体反抽 V1,000058.SZ,2025-09-30,0.506566,box,9.993716,10.304724,8.894822,10.169954,0.920635,13.855422,-1.506024,0.5,1.975052,1.147353,13.855422,131247915.95,0.616493,0.621131,0.581888,0.666667,0.373814,0.380593,深赛格
box_rebound_v1,箱体反抽 V1,000059.SZ,2023-03-15,0.508234,box,9.169331,9.641369,8.65009,9.641369,0.928571,11.580217,-1.447527,0.45,4.74359,1.569803,11.580217,214574632.85,0.264801,0.501028,0.55361,0.444444,0.349503,0.691031,华锦股份
box_rebound_v1,箱体反抽 V1,000059.SZ,2025-04-02,0.51523,box,5.86114,6.151176,5.377747,6.127006,0.975309,12.573674,-0.392927,0.45,4.320988,2.090484,12.573674,91934478.5,0.649906,0.684196,0.464869,0.444444,0.45,0.755684,华锦股份
box_rebound_v1,箱体反抽 V1,000059.SZ,2025-05-20,0.573021,box,6.404957,6.827926,5.873225,6.779586,0.972414,13.982301,-0.707965,0.55,5.849057,2.177224,13.982301,120955344.05,0.242511,0.435895,0.36354,0.888889,0.45,0.777522,华锦股份
box_rebound_v1,箱体反抽 V1,000059.SZ,2025-06-19,0.608705,box,6.574279,6.780483,6.380787,6.780483,0.916066,7.530648,-1.738317,0.5,3.710575,1.939872,7.530648,116444763.55,0.648742,0.528691,0.665675,0.666667,0.458874,0.638336,华锦股份
box_rebound_v1,箱体反抽 V1,000059.SZ,2025-07-22,0.568911,box,6.55002,6.926039,6.089092,6.926039,0.987435,12.084063,0.0,0.5,4.963235,1.737851,12.084063,191582050.7,0.656829,0.736806,0.455768,0.666667,0.45,0.817794,华锦股份
box_rebound_v1,箱体反抽 V1,000060.SZ,2023-01-18,0.558652,box,14.629835,14.836374,13.80368,14.767528,0.851852,6.960557,-0.464037,0.45,0.941176,1.634401,6.960557,80561030.15,0.759817,0.732033,0.652269,0.444444,0.531133,0.543429,中金岭南
box_rebound_v1,箱体反抽 V1,000060.SZ,2023-02-20,0.527548,box,15.180605,15.972338,14.526566,15.834645,0.936508,9.051724,-0.862069,0.4,4.545455,2.370129,9.051724,151446226.75,0.511317,0.662953,0.628157,0.222222,0.460193,0.741003,中金岭南
box_rebound_v1,箱体反抽 V1,000060.SZ,2023-03-29,0.609936,box,16.557531,16.798493,15.765799,16.591954,0.915663,6.339468,-1.431493,0.6,0.626305,1.212209,6.339468,158515910.75,0.604219,0.641952,0.725853,0.888889,0.451833,0.325758,中金岭南
box_rebound_v1,箱体反抽 V1,000060.SZ,2023-04-11,0.576033,box,16.419839,16.867339,15.834645,16.798493,0.910256,7.070707,-1.414141,0.45,2.521008,2.038852,7.070707,176623269.4,0.661562,0.673435,0.740803,0.444444,0.442321,0.586412,中金岭南
box_rebound_v1,箱体反抽 V1,000061.SZ,2023-07-11,0.579832,box,12.552001,13.342678,11.543888,13.105475,0.868132,13.481481,-1.777778,0.65,4.245283,2.531147,13.481481,54439632.75,0.590795,0.670938,0.57254,0.666667,0.45,0.66805,农产品
box_rebound_v1,箱体反抽 V1,000062.SZ,2023-02-02,0.57682,box,21.377106,21.765474,19.95872,21.427763,0.819512,8.301009,-1.55159,0.6,0.874404,1.861335,8.301009,57490924.7,0.71614,0.667904,0.513448,0.888889,0.493846,0.479369,深圳华强
box_rebound_v1,箱体反抽 V1,000063.SZ,2023-01-12,0.599291,box,62.101265,63.471319,58.794237,62.833535,0.869281,7.609503,-1.262064,0.55,1.179156,1.260386,7.609503,571634159.3,0.597329,0.559345,0.632263,0.888889,0.492761,0.385154,中兴通讯
box_rebound_v1,箱体反抽 V1,000063.SZ,2025-08-13,0.517834,box,86.344215,88.718369,82.720507,88.718369,0.946463,7.490218,-0.78256,0.4,2.749638,1.944457,7.490218,2847564138.7,0.563723,0.667798,0.62611,0.222222,0.506586,0.638025,中兴通讯
box_rebound_v1,箱体反抽 V1,000065.SZ,2024-04-15,0.537535,box,47.519242,50.531623,45.14328,50.234628,0.943343,11.627907,-1.66113,0.5,5.998209,2.198671,11.627907,125903069.4,0.555926,0.475656,0.500748,0.666667,0.339494,0.720332,北方国际
box_rebound_v1,箱体反抽 V1,000070.SZ,2025-06-04,0.515269,box,16.466368,16.959373,15.357107,16.836122,0.972826,9.447674,-0.726744,0.5,2.552553,1.380936,9.447674,70151432.05,0.154791,0.39579,0.421986,0.666667,0.505073,0.53986,特发信息
box_rebound_v1,箱体反抽 V1,000088.SZ,2025-11-14,0.522299,box,9.929745,10.07987,9.565153,10.015531,0.852941,5.508475,-1.059322,0.45,0.646552,1.114205,5.508475,188136103.85,0.786435,0.806551,0.705133,0.444444,0.493144,0.316636,盐田港
box_rebound_v1,箱体反抽 V1,000088.SZ,2025-12-12,0.614677,box,9.915365,10.002918,9.543265,10.002918,0.835644,5.010893,-0.43573,0.65,0.43956,2.111656,5.010893,127961215.7,0.828369,0.814807,0.665514,0.666667,0.577473,0.52023,盐田港
box_rebound_v1,箱体反抽 V1,000088.SZ,2026-01-22,0.51418,box,9.893477,9.98103,9.696483,9.98103,0.815804,3.063457,-0.218818,0.4,0.884956,1.344861,3.063457,108957365.15,0.864749,0.84493,0.649671,0.222222,0.602797,0.458255,盐田港
box_rebound_v1,箱体反抽 V1,000089.SZ,2022-11-04,0.500313,box,7.650816,8.004611,6.954282,7.849826,0.852632,13.121547,-1.933702,0.45,2.601156,1.636197,13.121547,100298890.55,0.622756,0.681279,0.53667,0.444444,0.45,0.555446,深圳机场
box_rebound_v1,箱体反抽 V1,000089.SZ,2022-11-29,0.597657,box,7.58448,8.104116,7.319133,8.070948,0.971154,9.686221,-0.409277,0.5,6.725146,2.19058,9.686221,109835122.6,0.544962,0.673856,0.520324,0.666667,0.492485,0.795443,深圳机场
box_rebound_v1,箱体反抽 V1,000089.SZ,2024-03-28,0.584819,box,7.109068,7.562367,7.020619,7.429694,0.818182,7.163743,-1.754386,0.65,4.510109,2.952401,7.163743,76455441.8,0.699293,0.659957,0.525256,0.666667,0.522311,0.685343,深圳机场
box_rebound_v1,箱体反抽 V1,000089.SZ,2025-05-06,0.561309,box,7.637101,7.760642,6.918315,7.726949,0.888889,10.853835,-0.434153,0.5,1.624815,1.313153,10.853835,77495171.0,0.766625,0.752794,0.704603,0.666667,0.342132,0.479157,深圳机场
box_rebound_v1,箱体反抽 V1,000089.SZ,2025-05-19,0.514314,box,7.839259,7.985263,7.457404,7.985263,0.940594,7.391911,-0.83682,0.4,1.862464,1.475493,7.391911,72075510.4,0.681235,0.708407,0.659086,0.222222,0.53806,0.52337,深圳机场
box_rebound_v1,箱体反抽 V1,000089.SZ,2025-07-09,0.646369,box,7.907824,8.124947,7.726949,8.044954,0.86359,4.898464,-0.984529,0.65,1.734104,2.057259,4.898464,57028873.9,0.871002,0.80146,0.744411,0.666667,0.557989,0.564975,深圳机场
box_rebound_v1,箱体反抽 V1,000089.SZ,2025-07-21,0.561975,box,8.090664,8.159229,7.816797,8.136374,0.900829,4.730587,-0.835655,0.4,0.992908,1.213322,4.730587,65393834.95,0.843611,0.819951,0.857687,0.222222,0.562262,0.383876,深圳机场
