strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,strategy_family,entry_variant,mcst_mode,base_start_date,base_end_date,first_breakout_date,handle_low_date,handle_prep_date,throwback_hold_date,second_breakout_date,base_length_days,base_width_pct,base_drift_pct,breakout_leg_pct,washout_count,base_dryup_count,base_dryup_tail_count,first_breakout_ratio_pct,first_breakout_vol_ratio,handle_length_days,handle_depth_pct,handle_bottom_dryup_flag,handle_volume_contraction_ratio,handle_range_contraction_ratio,handle_volume_contract_share,handle_range_contract_share,rim_approach_distance_pct,pullback_depth_pct,pullback_stability,pullback_vol_ratio_vs_breakout,throwback_reclaim_ratio,throwback_close_strength,throwback_day_pct,second_breakout_vol_ratio,second_breakout_day_pct,mcst_value_first,mcst_value_signal,mcst_distance_first_pct,mcst_distance_signal_pct,mcst_distance_second_pct,mcst_slope_first_pct,mcst_slope_signal_pct,mcst_slope_second_pct,rs_rating_120,ret_120d_pct,close_vs_ma120_pct,rsi14,name
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300233.SZ,2025-09-09,0.584209,bottom_staging_handle_breakout_confirm,20.83,22.47,18.48,21.36,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2025-04-14,2025-08-21,2025-08-22,2025-09-05,,,2025-09-09,90,17.726286,12.441324,19.302949,4,34,5,1.339262,1.638188,11,1.136364,True,0.680327,0.884584,0.777778,0.555556,0.0,1.136364,0.344413,0.575838,,,,1.157546,2.5444,18.438328,19.264852,1.36494,10.875496,10.875496,0.223773,2.191469,2.191469,49.0,6.427504,22.053074,68.592134,金城医药
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300242.SZ,2023-01-18,0.570211,bottom_staging_handle_breakout_confirm,3.34,3.42,3.3,3.42,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-08-18,2022-12-29,2022-12-30,2023-01-12,2023-01-18,2023-01-18,2023-01-18,90,16.683974,0.0,17.687781,4,21,7,0.860279,2.071688,11,3.030303,False,0.613977,0.666589,0.714286,0.428571,0.0,3.030303,0.442816,0.587018,1.2,1.0,3.3233,1.017156,3.3233,3.273137,3.341159,3.875891,2.359691,2.359691,0.293282,0.464167,0.464167,70.0,5.555556,6.797127,57.692458,佳云科技
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300252.SZ,2025-08-06,0.536358,bottom_staging_handle_breakout_confirm,12.12,12.49,11.6,12.34,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2025-03-17,2025-07-25,2025-07-28,2025-08-01,2025-08-04,2025-08-04,2025-08-06,90,21.220991,1.240945,24.189839,3,30,7,2.44912,1.948822,6,2.413793,False,0.98723,1.288329,0.666667,0.333333,0.0,2.413793,0.632404,0.55849,1.464286,0.975,2.5619,1.377415,0.982,11.423827,11.678016,3.993168,5.668633,5.668633,0.786789,1.873942,1.873942,52.0,10.474485,14.648498,67.01327,金信诺
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300270.SZ,2023-04-07,0.490551,bottom_staging_handle_breakout_confirm,7.02,7.3,6.83,7.3,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-11-03,2023-03-16,2023-03-17,2023-03-31,,,2023-04-07,90,25.94925,16.289802,30.209298,4,26,11,3.382353,1.304359,13,2.928258,False,0.567405,1.016917,0.555556,0.333333,0.0,2.928258,0.55029,0.642514,,,,1.070474,4.1369,6.808811,7.066729,3.248575,3.30098,3.30098,1.496494,0.957926,0.957926,83.0,40.115163,19.512129,60.202104,中威电子
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300272.SZ,2026-01-05,0.577392,bottom_staging_handle_breakout_confirm,7.49,7.85,7.32,7.64,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2025-08-07,2025-12-18,2025-12-19,2025-12-30,,,2026-01-05,90,14.643963,5.843653,15.634675,3,35,13,0.864164,1.750331,8,2.04918,False,0.593277,1.068641,0.666667,0.166667,0.0,2.04918,0.421939,0.738573,,,,1.169058,2.139,7.320507,7.463679,2.04211,2.362393,2.362393,-3.386784,0.573906,0.573906,58.0,13.690476,9.437296,57.273845,开能健康
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300321.SZ,2023-09-11,0.543908,bottom_staging_handle_breakout_confirm,17.86,17.92,17.3,17.66,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-04-18,2023-08-28,2023-08-29,2023-09-04,2023-09-18,2023-09-18,2023-09-11,90,10.701777,8.284558,14.08743,2,21,7,3.058355,1.35776,8,1.676301,False,1.094206,1.257535,0.666667,0.666667,0.0,1.676301,0.68749,0.751058,1.793103,0.693333,2.9463,1.077844,-0.451,16.975194,17.340778,3.621791,1.840874,1.840874,0.018924,1.507396,1.507396,78.0,6.578153,7.082763,58.098968,同大股份
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300373.SZ,2024-03-11,0.504723,bottom_staging_handle_breakout_confirm,40.57,41.69,38.43,41.66,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-10-17,2024-02-28,2024-02-29,2024-03-08,,,2024-03-11,90,14.056724,0.957697,14.80476,4,23,6,0.655846,1.321095,6,3.434817,False,1.016118,1.419967,0.6,0.6,0.0,3.434817,0.395412,0.823862,,,,1.08863,1.6098,38.038998,39.128484,4.498022,6.469753,6.469753,1.366989,2.183352,2.183352,89.0,11.420166,12.488946,60.6782,扬杰科技
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300408.SZ,2023-01-17,0.536343,bottom_staging_handle_breakout_confirm,32.3,34.0,30.94,33.48,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-08-25,2023-01-06,2023-01-09,2023-01-13,2023-01-16,2023-01-16,2023-01-17,90,20.315428,12.384884,24.960962,4,30,7,3.861129,1.872471,5,3.458306,False,0.692034,1.108504,0.333333,0.333333,0.0,3.458306,0.697671,0.350735,1.280374,0.815385,3.3259,1.352024,3.6212,30.663549,31.066336,4.391047,7.769389,7.769389,-0.231687,1.059072,1.059072,91.0,26.435045,16.619498,66.862009,三环集团
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300469.SZ,2023-03-14,0.62219,bottom_staging_handle_breakout_confirm,15.91,16.47,14.83,16.32,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-10-11,2023-02-21,2023-02-22,2023-02-27,,,2023-03-14,90,20.644796,8.73961,23.626374,2,38,15,2.471368,1.894865,13,3.169252,True,0.48659,0.667216,1.0,0.5,0.0,3.169252,0.582763,0.589127,,,,1.3601,2.0,14.828872,15.535336,3.177098,5.050832,5.050832,1.242421,0.966769,0.966769,86.0,23.917995,17.579251,67.294356,信息发展
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300478.SZ,2023-09-18,0.568925,bottom_staging_handle_breakout_confirm,10.82,11.2,10.65,11.05,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-04-18,2023-08-28,2023-08-29,2023-09-14,2023-09-18,2023-09-18,2023-09-18,90,14.450251,11.921049,16.135224,4,38,7,1.472233,1.318749,13,1.870907,True,0.598615,0.771914,0.727273,0.636364,0.0,1.870907,0.593818,0.891734,1.8,0.727273,2.5046,1.146058,2.5046,10.597552,10.942356,2.759583,0.983738,0.983738,-0.357553,0.609017,0.609017,84.0,7.910156,9.361727,57.390305,杭州高新
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300504.SZ,2023-04-03,0.497705,bottom_staging_handle_breakout_confirm,20.26,20.83,19.5,20.83,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-11-08,2023-03-21,2023-03-22,2023-03-31,,,2023-04-03,90,15.941764,11.124458,22.746101,2,22,5,5.868754,1.9238,7,3.333333,False,0.800517,1.411499,0.666667,0.5,0.0,3.333333,0.528433,0.551145,,,,1.140153,2.8642,19.188337,19.670474,5.011705,5.894756,5.894756,0.735841,1.339041,1.339041,82.0,39.331104,18.522874,61.102767,天邑股份
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300512.SZ,2023-04-07,0.597571,bottom_staging_handle_breakout_confirm,7.97,8.19,7.93,8.18,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-11-07,2023-03-20,2023-03-21,2023-04-06,2023-04-07,2023-04-07,2023-04-07,90,13.467251,4.994668,15.009195,2,47,12,1.358933,1.974301,11,2.522068,False,0.876635,1.384809,0.6,0.4,0.0,2.522068,0.728075,0.610223,1.25,0.954545,2.25,1.223423,2.25,7.907774,8.025154,2.81022,1.929505,1.929505,-0.708705,0.405111,0.405111,61.0,17.867435,7.896588,57.839022,中亚股份
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,300541.SZ,2023-04-03,0.538177,bottom_staging_handle_breakout_confirm,14.76,15.06,14.1,15.03,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-11-03,2023-03-16,2023-03-17,2023-03-31,,,2023-04-03,90,19.225413,7.31272,25.848564,3,37,8,5.55515,1.865302,10,2.553191,False,0.679412,1.089696,0.666667,0.666667,0.0,2.553191,0.388467,0.725912,,,,1.187022,0.8725,13.652812,14.415626,5.912246,4.261865,4.261865,-0.8781,1.448889,1.448889,87.0,47.787611,17.994177,61.361455,先进数通
