strategy_id,strategy_name,symbol,name,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,eligible_execution,ret_1d_pct,vol_ratio_20,box_quality_60,handle_quality_10,alpha_vs_hs300_10d_pct,diag_highwin_shared_cls_prob,diag_highwin_shared_reg_score,branch_trend_lgbm_cls_prob,branch_trend_lgbm_reg_score
both_highwin_highwin_exec,双入口高胜率执行,002386.SZ,天原股份,2025-06-17,0.211763,box,11.401536,11.819265,11.00838,11.745548,True,3.017241,1.996274,0.586499,0.501436,4.578158,0.211763,0.097997,,
both_highwin_highwin_exec,双入口高胜率执行,688313.SH,仕佳光子,2025-06-18,0.211941,box,36.982414,37.970494,27.379638,37.889835,True,2.064096,1.056219,0.247521,0.151308,28.395162,0.211941,0.094634,,
both_highwin_highwin_exec,双入口高胜率执行,001389.SZ,广合科技,2025-06-18,0.211763,box,57.388125,60.424588,47.545499,59.541069,True,2.715487,2.395969,0.2403,0.12,20.775489,0.211763,0.101176,,
both_highwin_highwin_exec,双入口高胜率执行,002628.SZ,成都路桥,2025-06-18,0.211763,box,16.789389,17.4027,15.754427,17.287704,True,2.968037,2.401317,0.542253,0.21727,5.212852,0.211763,0.098188,,
both_highwin_highwin_exec,双入口高胜率执行,002443.SZ,金洲管道,2025-06-19,0.211763,box,27.147631,28.091151,25.148586,27.79094,True,2.857143,2.853739,0.551905,0.310191,7.467768,0.211763,0.104536,,
both_highwin_highwin_exec,双入口高胜率执行,002807.SZ,江阴银行,2025-06-19,0.211763,box,7.882925,7.980647,7.101147,7.948073,True,1.035197,1.139786,0.539082,0.347811,6.975777,0.211763,0.099549,,
both_highwin_highwin_exec,双入口高胜率执行,601857.SH,中国石油,2025-06-19,0.211763,box,14.990492,15.121128,13.308552,15.104799,True,0.762527,1.914844,0.561374,0.142678,11.139118,0.211763,0.100194,,
both_highwin_highwin_exec,双入口高胜率执行,002839.SZ,张家港行,2025-06-20,0.211763,box,7.162333,7.256368,6.676485,7.225023,True,0.655022,1.361728,0.555929,0.369548,2.696879,0.211763,0.092188,,
both_highwin_highwin_exec,双入口高胜率执行,300400.SZ,劲拓股份,2025-06-20,0.211763,box,52.352783,54.054499,51.018104,54.021132,True,3.450479,2.272448,0.474376,0.338978,2.657869,0.211763,0.098626,,
both_highwin_highwin_exec,双入口高胜率执行,300787.SZ,海能实业,2025-06-20,0.211763,box,52.782582,53.987074,50.390011,53.642934,True,1.629992,1.402682,0.325338,0.349277,1.02753,0.211763,0.096836,,
both_highwin_highwin_exec,双入口高胜率执行,301022.SZ,海泰科,2025-06-23,0.21183,box,38.818448,40.578001,36.02569,40.334371,True,5.748758,2.254364,0.392396,0.211888,8.573592,0.21183,0.097597,,
both_highwin_highwin_exec,双入口高胜率执行,603200.SH,上海洗霸,2025-06-23,0.21183,box,92.081385,99.722076,84.550968,98.272556,True,5.124836,2.153893,0.457357,0.222828,8.121233,0.21183,0.100442,,
both_highwin_highwin_exec,双入口高胜率执行,001228.SZ,永泰运,2025-06-23,0.211763,box,27.055454,27.321225,23.630575,27.140501,True,0.670347,1.478301,0.292744,0.256474,8.289133,0.211763,0.09726,,
both_highwin_highwin_exec,双入口高胜率执行,605319.SH,无锡振华,2025-06-24,0.214363,box,35.312315,37.322303,31.736652,36.68757,True,4.520796,1.504559,0.462531,0.184417,13.081163,0.214363,0.105529,,
both_highwin_highwin_exec,双入口高胜率执行,001223.SZ,欧克科技,2025-06-24,0.214276,box,55.381461,59.848632,52.976062,58.8607,True,6.254846,2.675707,0.384147,0.23235,2.632163,0.214276,0.105078,,
both_highwin_highwin_exec,双入口高胜率执行,300373.SZ,扬杰科技,2025-06-24,0.214276,box,278.924388,281.2738,256.850842,280.126413,True,0.905334,1.552308,0.530781,0.289464,6.554135,0.214276,0.105334,,
both_highwin_highwin_exec,双入口高胜率执行,688143.SH,长盈通,2025-06-25,0.211941,box,45.356785,48.630362,40.623903,48.104486,True,7.428068,2.191922,0.418015,0.143384,10.627874,0.211941,0.097913,,
both_highwin_highwin_exec,双入口高胜率执行,688199.SH,久日新材,2025-06-25,0.211941,box,33.987675,36.305017,27.607262,35.625263,True,4.014434,1.652388,0.239524,0.107572,4.538043,0.211941,0.095117,,
both_highwin_highwin_exec,双入口高胜率执行,300553.SZ,集智股份,2025-06-25,0.21183,box,63.621838,69.383554,59.903686,68.984399,True,8.251634,2.529628,0.297812,0.131582,5.723114,0.21183,0.105959,,
both_highwin_highwin_exec,双入口高胜率执行,300502.SZ,新易盛,2025-06-26,0.211941,box,1336.625514,1409.369477,1009.456856,1395.155139,True,5.797101,1.173917,0.245827,0.074379,14.478748,0.211941,0.09322,,
both_highwin_highwin_exec,双入口高胜率执行,002701.SZ,奥瑞金,2025-06-26,0.211763,box,60.70633,61.509058,54.986891,61.308376,True,1.15894,1.242518,0.560956,0.408549,2.883438,0.211763,0.097448,,
both_highwin_highwin_exec,双入口高胜率执行,002792.SZ,通宇通讯,2025-06-26,0.211763,box,46.551999,47.4781,42.847596,47.07679,True,0.593668,1.63659,0.44532,0.227666,1.241722,0.211763,0.097594,,
both_highwin_highwin_exec,双入口高胜率执行,301007.SZ,德迈仕,2025-06-27,0.214363,box,27.706232,28.352017,24.696044,27.935382,True,2.758621,1.23077,0.205211,0.409006,5.150178,0.214363,0.102376,,
both_highwin_highwin_exec,双入口高胜率执行,600496.SH,精工钢构,2025-06-27,0.214343,box,11.589819,11.887949,10.807226,11.813416,True,2.258065,1.460691,0.720622,0.195796,3.560112,0.214343,0.111808,,
both_highwin_highwin_exec,双入口高胜率执行,000920.SZ,沃顿科技,2025-06-27,0.214276,box,11.666146,11.886887,10.705924,11.699258,True,0.664767,1.92759,0.526979,0.2868,1.534249,0.214276,0.106615,,
both_highwin_highwin_exec,双入口高胜率执行,300512.SZ,中亚股份,2025-06-30,0.214276,box,28.612242,29.121357,25.964846,29.121357,True,1.900238,1.23126,0.401497,0.286406,4.58029,0.214276,0.109328,,
both_highwin_highwin_exec,双入口高胜率执行,300866.SZ,安克创新,2025-06-30,0.213554,box,159.30816,160.717966,136.511585,160.154044,True,3.066594,1.101836,0.280042,0.281547,4.958775,0.213554,0.109894,,
both_highwin_highwin_exec,双入口高胜率执行,603790.SH,雅运股份,2025-06-30,0.211941,box,29.834569,30.127065,23.64826,30.015638,True,1.126232,1.301707,0.326042,0.163908,19.800622,0.211941,0.094479,,
both_highwin_highwin_exec,双入口高胜率执行,688700.SH,东威科技,2025-07-01,0.211941,box,77.707789,79.697266,65.541552,79.579079,True,2.408112,1.105907,0.377576,0.190357,11.272164,0.211941,0.100849,,
both_highwin_highwin_exec,双入口高胜率执行,603112.SH,华翔股份,2025-07-01,0.21183,box,18.335994,19.744748,17.522942,19.389786,True,5.683192,2.110909,0.372109,0.240835,2.610558,0.21183,0.103412,,
both_highwin_highwin_exec,双入口高胜率执行,000553.SZ,安道麦A,2025-07-01,0.211763,box,7.529386,7.747779,7.092598,7.685381,True,2.354571,1.132326,0.439499,0.326724,-1.325971,0.211763,0.099261,,
both_highwin_highwin_exec,双入口高胜率执行,603298.SH,杭叉集团,2025-07-02,0.214276,box,50.599383,53.055433,44.971931,52.125472,True,2.77386,1.183509,0.427843,0.239949,3.322873,0.214276,0.109915,,
both_highwin_highwin_exec,双入口高胜率执行,300019.SZ,硅宝科技,2025-07-02,0.211941,box,150.012703,165.368334,130.798478,164.108385,True,8.091286,3.636802,0.384257,0.105,21.394568,0.211941,0.097222,,
both_highwin_highwin_exec,双入口高胜率执行,000757.SZ,浩物股份,2025-07-02,0.211763,box,4.56,4.65,4.22,4.64,True,1.754386,1.659514,0.438241,0.343367,0.881587,0.211763,0.09825,,
both_highwin_highwin_exec,双入口高胜率执行,301130.SZ,西点药业,2025-07-03,0.214276,box,30.156737,31.484457,27.923286,30.969837,True,2.661208,1.796185,0.51635,0.257311,6.766306,0.214276,0.108513,,
