strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,base_shape_score,cup_depth_pct,handle_depth_pct,close_vs_ma60_pct,ma20_slope_pct,box_width_pct_20,box_stability_40,box_quality_60,handle_quality_10,breakout_ratio_pct,volume_ratio_20,ret_1d_pct,alpha_vs_hs300_10d_pct,amount_ma20_yuan,trend_strength_score,box_quality_score,volume_confirm_score,structure_confirm_score,name
cup_v2_trend_scored,杯柄 V2 趋势增强,601598.SH,2024-01-25,0.62232,trend_cup,6.716608,7.260864,5.974442,7.174278,0.754817,21.210752,10.885609,16.621984,0.123633,17.717206,0.572406,0.529395,0.18,4.811385,2.788401,7.01107,10.535498,131163300.25,0.494453,0.38433,1.0,0.521186,中国外运
cup_v2_trend_scored,杯柄 V2 趋势增强,601600.SH,2023-01-20,0.645494,trend_cup,5.07801,5.259368,4.433183,5.239217,0.733824,23.153693,10.750507,14.925593,2.294975,15.708812,0.470075,0.499934,0.220884,3.792415,1.944601,3.379722,10.515528,431527959.7,0.671627,0.321651,0.964867,0.527584,中国铝业
cup_v2_trend_scored,杯柄 V2 趋势增强,601600.SH,2023-02-20,0.655404,trend_cup,5.491102,5.813516,4.433183,5.722837,0.733824,23.153693,10.750507,17.290749,2.9968,16.117851,0.010236,0.341037,0.205749,13.373253,1.947509,6.367041,6.02929,635712920.95,0.858447,0.244318,0.965836,0.374181,中国铝业
cup_v2_trend_scored,杯柄 V2 趋势增强,601601.SH,2022-11-29,0.641904,trend_cup,33.479566,34.652552,31.359712,34.539493,0.562101,21.132101,-0.772025,16.545596,5.442978,17.822186,0.032109,0.360529,0.234469,7.563139,2.256081,4.221748,7.835337,610494665.2,0.974755,0.124211,1.0,0.523123,中国太保
cup_v2_trend_scored,杯柄 V2 趋势增强,601601.SH,2025-06-25,0.590722,trend_cup,56.223468,57.960454,52.962812,57.960454,0.756911,20.520631,2.523836,15.328061,1.661177,11.198738,0.270847,0.465571,0.258319,5.34478,1.622283,3.594771,4.993855,1037650538.5,0.614762,0.297459,0.857428,0.343428,中国太保
cup_v2_trend_scored,杯柄 V2 趋势增强,601607.SH,2023-03-13,0.592892,trend_cup,24.866964,26.117188,24.541905,25.917152,0.649811,11.022044,1.653307,9.683507,1.810167,10.579225,0.624765,0.682008,0.234911,3.857715,2.252204,3.909774,7.835374,282282525.15,0.319799,0.558063,1.0,0.603628,上海医药
cup_v2_trend_scored,杯柄 V2 趋势增强,601607.SH,2023-04-27,0.592185,trend_cup,27.642462,28.755161,24.891968,28.705153,0.507364,16.619718,6.525822,13.190804,2.174223,12.73913,0.508654,0.595497,0.296497,7.793427,2.272281,4.458599,8.770558,341389124.55,0.560156,0.386062,1.0,0.670615,上海医药
cup_v2_trend_scored,杯柄 V2 趋势增强,601619.SH,2023-04-10,0.615065,trend_cup,4.745593,5.160566,4.447663,5.086084,0.735719,20.652174,9.130435,15.069812,0.319452,13.814433,0.342851,0.495341,0.225,3.913043,2.290982,5.752212,10.012698,104248707.45,0.432699,0.422677,1.0,0.565383,嘉泽新能
cup_v2_trend_scored,杯柄 V2 趋势增强,601628.SH,2025-12-17,0.581608,trend_cup,59.143384,62.074383,57.690969,61.302379,0.702135,17.864054,2.885463,9.54453,0.987657,9.633221,0.749031,0.635086,0.226594,3.193833,1.791665,3.673379,7.724076,596048251.35,0.209264,0.653283,0.913888,0.581055,中国人寿
cup_v2_trend_scored,杯柄 V2 趋势增强,601668.SH,2024-05-17,0.561096,trend_cup,12.293393,12.660038,10.805245,12.638471,0.554465,17.304189,8.743169,10.496543,2.356934,12.0954,0.610145,0.69177,0.258203,6.739526,1.866578,3.533569,7.287092,1251673041.15,0.433314,0.446037,0.938859,0.571935,中国建筑
cup_v2_trend_scored,杯柄 V2 趋势增强,601688.SH,2025-07-21,0.613207,trend_cup,25.226523,26.00126,24.492561,25.919708,0.936125,20.435967,1.043383,11.047488,2.03322,10.872974,0.523324,0.625392,0.362577,3.923706,1.733377,3.136831,3.025033,1199822174.95,0.423457,0.444185,0.894459,0.266998,华泰证券
cup_v2_trend_scored,杯柄 V2 趋势增强,601700.SH,2025-07-22,0.563998,trend_cup,31.226694,32.113457,27.815641,32.050116,0.672027,18.238994,7.54717,11.873863,1.271037,10.51403,0.582842,0.565073,0.25271,6.527258,2.560604,2.016129,3.737252,86316777.7,0.374094,0.563615,1.0,0.272375,风范股份
cup_v2_trend_scored,杯柄 V2 趋势增强,601728.SH,2024-04-17,0.563748,trend_cup,6.854286,7.145481,6.215897,7.089482,0.73723,19.516129,9.756098,8.971968,1.896139,10.815047,0.680244,0.630537,0.383884,2.096774,1.720391,3.094463,5.990619,662994061.8,0.291016,0.562189,0.777227,0.497096,中国电信
cup_v2_trend_scored,杯柄 V2 趋势增强,601827.SH,2023-05-04,0.56695,trend_cup,7.94472,8.270065,7.073635,8.25957,0.578985,13.114754,7.923497,9.404323,2.335325,10.786802,0.534003,0.672004,0.24633,7.513661,1.980733,4.654255,8.367164,58391828.6,0.369934,0.43843,0.976911,0.644437,三峰环境
cup_v2_trend_scored,杯柄 V2 趋势增强,601838.SH,2024-04-25,0.643026,trend_cup,18.080715,18.998777,16.423104,18.884019,0.789279,23.95167,5.985401,11.448352,2.305634,10.671141,0.578868,0.589662,0.239349,5.259417,2.848829,4.002809,6.498128,292281610.85,0.479779,0.499146,1.0,0.48158,成都银行
cup_v2_trend_scored,杯柄 V2 趋势增强,601857.SH,2023-03-17,0.619699,trend_cup,8.098587,8.65711,7.2755,8.568922,0.605043,12.5,6.954887,12.176506,2.276576,12.733447,0.537272,0.640034,0.202131,7.169118,2.742732,6.386861,10.157602,1053878611.8,0.5166,0.519796,1.0,0.583827,中国石油
cup_v2_trend_scored,杯柄 V2 趋势增强,601857.SH,2023-03-30,0.564882,trend_cup,8.377848,8.862881,8.039795,8.818788,0.493291,16.197183,3.697183,13.168401,1.979214,11.276949,0.435007,0.59328,0.189179,5.633803,2.272354,6.951872,6.966294,1435582492.7,0.534535,0.431917,1.0,0.502546,中国石油
cup_v2_trend_scored,杯柄 V2 趋势增强,601857.SH,2025-11-19,0.570237,trend_cup,17.013038,17.788708,15.44446,17.702523,0.328854,12.418301,2.396514,16.576998,3.592912,13.565891,0.022713,0.417278,0.286738,11.873638,1.503643,4.052685,8.607024,1438579808.7,0.925614,0.225671,0.817881,0.610868,中国石油
cup_v2_trend_scored,杯柄 V2 趋势增强,601886.SH,2023-07-03,0.564642,trend_cup,22.835992,24.17023,21.912289,23.913645,0.492798,25.711035,1.499423,17.961121,2.234745,17.091295,0.343857,0.397915,0.250334,6.290736,1.754403,4.836895,6.380172,54615245.0,0.725947,0.304182,0.901468,0.428092,江河集团
cup_v2_trend_scored,杯柄 V2 趋势增强,601886.SH,2026-01-20,0.578662,trend_cup,26.757973,27.650897,22.204057,27.293727,0.654253,17.889042,10.97852,13.093525,3.286185,15.500538,0.284696,0.515748,0.32858,9.427208,1.486611,2.68757,3.728719,70780735.45,0.693747,0.366671,0.812204,0.282165,江河集团
cup_v2_trend_scored,杯柄 V2 趋势增强,601888.SH,2025-09-19,0.606641,trend_cup,165.633223,171.640287,154.635677,170.900956,0.84314,17.672595,6.273631,11.852335,1.877144,9.907121,0.506801,0.605891,0.282851,3.584932,1.763203,3.194754,4.004324,2790636175.65,0.448662,0.472404,0.904401,0.311652,中国中免
cup_v2_trend_scored,杯柄 V2 趋势增强,601898.SH,2024-08-26,0.57076,trend_cup,17.888855,18.367898,15.112822,18.285776,0.623989,18.562874,13.328313,10.903903,3.359084,17.721552,0.345768,0.569575,0.249486,4.240555,1.45193,3.08642,7.923389,228862172.8,0.581213,0.281531,0.800643,0.586494,中煤能源
cup_v2_trend_scored,杯柄 V2 趋势增强,601899.SH,2023-07-25,0.580376,trend_cup,25.762957,26.700533,24.988438,26.37442,0.689499,18.877166,2.54372,11.45861,2.020629,14.122137,0.374937,0.506002,0.293685,2.861685,1.557785,4.102977,8.111335,1368944780.75,0.444724,0.399068,0.818639,0.597956,紫金矿业
cup_v2_trend_scored,杯柄 V2 趋势增强,601928.SH,2023-03-13,0.568233,trend_cup,12.516924,13.160972,10.304761,13.076966,0.544168,26.477024,15.304948,15.213816,1.916,12.340426,0.212857,0.477477,0.210729,2.188184,1.783591,4.357542,9.98158,124527748.6,0.640268,0.325518,0.80972,0.558969,凤凰传媒
