strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,symmetry_score,cup_depth_pct,handle_depth_pct,handle_days,cup_days,rim_gap_pct,breakout_ratio_pct,volume_ratio_20,cup_depth_fit_score,handle_quality_score,breakout_confirm_score,name
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2024-03-04,0.52193,cup_breakout,31.38,32.49,30.95,32.49,0.175258,19.963145,4.944717,5,113,1.566339,-0.214988,1.283714,0.995393,0.507705,0.409365,国药一致
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2024-04-15,0.61405,cup_breakout,30.98,33.41,29.51,32.9,0.369565,19.963145,9.367322,5,62,4.699017,1.044226,2.865014,0.995393,0.335715,0.755528,国药一致
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2024-04-25,0.662607,cup_breakout,34.79,36.6,29.51,35.98,0.369565,19.963145,9.367322,9,62,4.699017,10.503686,1.14542,0.995393,0.520331,0.76514,国药一致
cup_v1_strict_breakout,杯柄 V1 严格突破,000028.SZ,2024-05-06,0.681668,cup_breakout,35.42,36.87,29.51,36.83,0.369565,19.963145,9.367322,13,62,4.699017,13.114251,1.235682,0.995393,0.566484,0.795227,国药一致
cup_v1_strict_breakout,杯柄 V1 严格突破,000029.SZ,2022-04-06,0.506603,cup_breakout,9.45,10.44,8.08,10.44,0.192308,14.114833,3.349282,5,61,0.837321,24.880383,2.248391,0.264354,0.56975,1.0,深深房Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000029.SZ,2024-09-27,0.851259,cup_breakout,14.94,15.71,11.95,15.71,0.816327,20.760697,0.416667,5,88,4.912837,24.484945,4.27067,0.904913,0.683796,1.0,深深房Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000029.SZ,2025-05-19,0.514502,cup_breakout,17.06,17.6,16.17,17.33,0.22619,24.647059,0.061805,7,102,4.823529,1.941176,1.11545,0.419118,0.789904,0.622797,深深房Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000029.SZ,2025-05-29,0.590956,cup_breakout,17.77,18.2,16.17,18.19,0.22619,24.647059,0.061805,15,102,4.823529,7.0,1.497377,0.419118,0.836058,0.882459,深深房Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000029.SZ,2025-06-09,0.526857,cup_breakout,20.23,20.75,16.93,20.7,0.320988,26.081939,2.308136,13,106,3.462204,19.446047,0.96702,0.239758,0.841008,0.705673,深深房Ａ
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2023-02-24,0.549841,cup_breakout,5.18,5.26,4.89,5.21,0.134146,19.847328,2.2,17,92,4.580153,-0.572519,1.4608,0.980916,0.660598,0.423702,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2023-03-06,0.510462,cup_breakout,5.15,5.2,5.11,5.19,0.112245,19.847328,1.160542,7,108,1.335878,-0.954198,0.937362,0.980916,0.747176,0.201513,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2023-07-04,0.524192,cup_breakout,5.14,5.25,4.75,5.23,0.857143,14.779271,7.76699,5,77,1.151631,0.383877,1.313849,0.347409,0.39795,0.494268,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2023-07-31,0.698689,cup_breakout,5.46,5.58,5.27,5.56,0.807692,18.53211,3.302752,5,93,4.40367,2.018349,1.015096,0.816514,0.57156,0.598992,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2025-02-24,0.509856,cup_breakout,5.58,5.74,5.31,5.59,0.231884,15.957447,2.209945,9,84,3.723404,-0.886525,2.223126,0.494681,0.798673,0.514184,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2025-03-06,0.612884,cup_breakout,5.81,5.99,5.51,5.87,0.6,18.974359,5.811966,5,71,2.735043,0.34188,1.364081,0.871795,0.473979,0.505762,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2025-03-17,0.614825,cup_breakout,5.86,5.95,5.55,5.88,0.733333,19.250426,5.451448,5,77,3.06644,0.170358,0.906113,0.906303,0.487999,0.331666,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2025-04-29,0.586032,cup_breakout,5.94,5.99,5.69,5.91,0.09,21.006944,1.215278,6,108,1.215278,2.604167,1.041749,0.874132,0.698893,0.681104,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2025-05-09,0.657929,cup_breakout,6.09,6.22,5.69,6.13,0.09,21.006944,1.215278,11,108,1.215278,6.423611,1.063765,0.874132,0.929662,0.737922,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000030.SZ,2025-05-19,0.606598,cup_breakout,6.21,6.3,5.36,6.23,0.103896,19.611307,0.556586,18,84,4.770318,10.070671,0.928184,0.951413,0.678355,0.692728,富奥股份
cup_v1_strict_breakout,杯柄 V1 严格突破,000031.SZ,2022-12-08,0.54579,cup_breakout,4.01,4.38,3.92,4.38,0.271605,24.205379,4.156479,7,102,1.95599,7.090465,1.269683,0.474328,0.630667,0.806561,大悦城
cup_v1_strict_breakout,杯柄 V1 严格突破,000031.SZ,2023-08-01,0.510651,cup_breakout,4.43,4.5,4.11,4.41,0.186441,13.625304,0.0,5,69,1.703163,7.29927,1.709005,0.203163,0.7,0.953002,大悦城
cup_v1_strict_breakout,杯柄 V1 严格突破,000031.SZ,2025-07-10,0.566924,cup_breakout,2.83,3.02,2.5,2.99,0.078431,19.444444,11.347518,5,54,2.083333,3.819444,3.410348,0.930556,0.258708,1.0,大悦城
cup_v1_strict_breakout,杯柄 V1 严格突破,000031.SZ,2025-07-21,0.863827,cup_breakout,2.92,3.05,2.82,3.01,0.822581,19.444444,0.353357,8,112,1.736111,4.513889,1.48236,0.930556,0.82472,0.877453,大悦城
