strategy_id,strategy_name,symbol,name,entry_type,signal_date,entry_date,exit_date,score,entry_price,exit_price,stop_price,hold_days,return_pct,max_favorable_excursion_pct,max_adverse_excursion_pct,exit_reason,signal_close,signal_low
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2023-12-27,2023-12-28,2024-01-09,0.51735,38.49,36.1806,36.1806,8,-6.000000000000005,4.182904650558594,-8.002078461938178,stop_loss,38.37,36.19
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2024-01-08,2024-01-09,2024-01-09,0.546,38.82,36.4908,36.4908,1,-6.000000000000005,0.5409582689335446,-8.784131890777957,stop_loss,38.82,37.55
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2024-03-15,2024-03-18,2024-03-27,0.583118,38.89,36.5566,36.5566,8,-6.000000000000016,2.2627924916430957,-6.659809719722299,stop_loss,39.05,35.4
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2025-02-07,2025-02-10,2025-02-28,0.484458,32.35,32.07,30.409,15,-0.8655332302936691,8.191653786707874,-4.1731066460587325,max_hold,32.23,31.59
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2025-02-18,2025-02-19,2025-02-27,0.564294,34.59,32.5146,32.5146,7,-6.000000000000005,1.185313674472388,-6.042208730847076,stop_loss,34.24,31.0
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2025-03-03,2025-03-04,2025-03-24,0.519994,33.48,38.29,31.4712,15,14.366786140979704,20.728793309438487,-0.2090800477897225,max_hold,33.8,31.0
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2025-03-13,2025-03-14,2025-04-03,0.842955,38.6,39.19,36.284,15,1.5284974093264123,4.715025906735759,-3.0829015544041605,max_hold,38.35,34.51
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2025-04-02,2025-04-03,2025-04-07,0.800385,39.45,34.0,37.083,2,-13.814955640050709,1.0646387832699444,-14.321926489226888,gap_stop,39.91,35.0
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2025-09-08,2025-09-09,2025-09-29,0.730637,46.93,50.2,44.1142,15,6.967824419347979,13.91434050713829,-4.517366290219471,max_hold,46.83,43.4
cup_v1_strict_breakout,杯柄 V1 严格突破,688550.SH,瑞联新材,cup_breakout,2026-01-26,2026-01-27,2026-01-30,0.516408,52.48,49.3312,49.3312,4,-6.000000000000005,0.9717987804878092,-8.022103658536572,stop_loss,52.46,48.61
cup_v1_strict_breakout,杯柄 V1 严格突破,688551.SH,科威尔,cup_breakout,2022-11-02,2022-11-03,2022-11-23,0.600263,47.07,49.0,44.2458,15,4.100276184406204,11.366050562991292,-1.1897174421075074,max_hold,47.31,39.36
cup_v1_strict_breakout,杯柄 V1 严格突破,688551.SH,科威尔,cup_breakout,2022-11-21,2022-11-22,2022-11-23,0.581612,51.93,48.8142,48.8142,2,-6.000000000000005,0.0192566917003533,-7.298286154438671,stop_loss,52.25,44.56
cup_v1_strict_breakout,杯柄 V1 严格突破,688551.SH,科威尔,cup_breakout,2025-08-05,2025-08-06,2025-08-26,0.450307,31.77,43.21,29.8638,15,36.008813345923826,58.92351274787537,-0.5350960025180984,max_hold,31.75,29.89
cup_v1_strict_breakout,杯柄 V1 严格突破,688553.SH,汇宇制药-W,cup_breakout,2023-12-06,2023-12-07,2023-12-15,0.533991,16.51,15.5194,15.5194,7,-6.000000000000005,2.241066020593574,-6.420351302241079,stop_loss,16.65,14.63
cup_v1_strict_breakout,杯柄 V1 严格突破,688553.SH,汇宇制药-W,cup_breakout,2025-06-11,2025-06-12,2025-06-17,0.682016,17.5,16.45,16.45,4,-6.000000000000005,3.4285714285714475,-8.057142857142862,stop_loss,17.5,15.94
cup_v1_strict_breakout,杯柄 V1 严格突破,688553.SH,汇宇制药-W,cup_breakout,2025-07-03,2025-07-04,2025-07-24,0.470527,17.69,21.7,16.6286,15,22.66817410966646,33.52176370830977,-0.1695873374788048,max_hold,17.62,15.27
cup_v1_strict_breakout,杯柄 V1 严格突破,688553.SH,汇宇制药-W,cup_breakout,2025-07-18,2025-07-21,2025-08-08,0.55224,21.85,22.28,20.539,15,1.967963386727689,11.487414187643008,-5.949656750572085,max_hold,22.35,15.27
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2022-08-16,2022-08-17,2022-08-25,0.512009,38.0,35.72,35.72,7,-6.000000000000005,4.105263157894745,-7.4210526315789505,stop_loss,37.4,29.5
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2022-08-29,2022-08-30,2022-08-31,0.74852,38.22,35.9268,35.9268,2,-5.999999999999995,2.956567242281527,-9.105180533751955,stop_loss,38.8,29.5
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2023-05-31,2023-06-01,2023-06-09,0.469949,37.8,35.532,35.532,7,-6.000000000000005,11.878306878306889,-7.169312169312159,stop_loss,37.9,31.94
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2025-02-19,2025-02-20,2025-03-12,0.578857,21.5,25.65,20.21,15,19.30232558139535,25.06976744186047,-0.6046511627906925,max_hold,21.5,20.41
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2025-03-04,2025-03-05,2025-03-25,0.716425,24.0,24.15,22.56,15,0.6249999999999867,12.04166666666666,-1.1666666666666714,max_hold,23.43,21.37
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2025-05-06,2025-05-07,2025-05-27,0.593068,23.62,31.59,22.2028,15,33.74259102455546,43.0990685859441,-3.429297205757842,max_hold,23.4,20.81
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2025-05-16,2025-05-19,2025-06-09,0.687682,26.57,29.81,24.9758,15,12.194203989461784,28.942416258938653,-0.2634550244636768,max_hold,25.23,22.09
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2025-05-26,2025-05-27,2025-05-28,0.676144,32.4,30.456,30.456,2,-6.000000000000005,5.740740740740735,-6.697530864197521,stop_loss,32.9,22.09
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2026-01-16,2026-01-19,2026-02-06,0.456781,40.75,39.88,38.305,15,-2.134969325153369,4.269938650306759,-5.055214723926382,max_hold,40.48,38.6
cup_v1_strict_breakout,杯柄 V1 严格突破,688557.SH,兰剑智能,cup_breakout,2026-01-26,2026-01-27,2026-01-30,0.525271,41.29,38.8126,38.8126,4,-6.000000000000005,1.646887866311464,-6.296924194720277,stop_loss,41.29,40.08
cup_v1_strict_breakout,杯柄 V1 严格突破,688558.SH,国盛智科,cup_breakout,2022-11-02,2022-11-03,2022-11-14,0.47228,37.29,35.0526,35.0526,8,-6.000000000000005,4.397961920085813,-6.918744971842317,stop_loss,37.38,33.4
cup_v1_strict_breakout,杯柄 V1 严格突破,688558.SH,国盛智科,cup_breakout,2022-11-15,2022-11-16,2022-12-06,0.466318,38.2,44.45,35.908,15,16.361256544502623,18.79581151832461,-3.141361256544506,max_hold,38.11,33.4
cup_v1_strict_breakout,杯柄 V1 严格突破,688558.SH,国盛智科,cup_breakout,2025-02-26,2025-02-27,2025-02-28,0.827476,26.88,25.2672,25.2672,2,-6.000000000000005,0.260416666666674,-8.779761904761907,stop_loss,26.95,23.08
cup_v1_strict_breakout,杯柄 V1 严格突破,688558.SH,国盛智科,cup_breakout,2025-05-09,2025-05-12,2025-05-30,0.50096,24.89,24.5,23.3966,15,-1.5668943350743314,5.182804339091995,-2.330253113700287,max_hold,24.71,23.39
cup_v1_strict_breakout,杯柄 V1 严格突破,688558.SH,国盛智科,cup_breakout,2025-05-27,2025-05-28,2025-06-10,0.572813,25.42,23.8948,23.8948,9,-6.000000000000005,2.9897718332021928,-6.412273800157364,stop_loss,25.43,23.89
cup_v1_strict_breakout,杯柄 V1 严格突破,688558.SH,国盛智科,cup_breakout,2026-01-21,2026-01-22,2026-01-29,0.588437,33.88,31.8472,31.8472,6,-6.000000000000005,1.5643447461629156,-7.024793388429762,stop_loss,33.96,31.2
cup_v1_strict_breakout,杯柄 V1 严格突破,688559.SH,海目星,cup_breakout,2022-11-03,2022-11-04,2022-11-10,0.494854,81.89,76.97659999999999,76.97659999999999,5,-6.000000000000016,4.164122603492482,-7.974111613139579,stop_loss,82.74,71.2
